Date,QUIC Canadian Fund Return,S&P/TSX Composite Total Return Index
08-29-2023,100,100
08-30-2023,99.98,100.24
08-31-2023,100.26,100.1
09-01-2023,100.72,101.35
09-05-2023,100.21,100.7
09-06-2023,99.47,99.78
09-07-2023,98.07,99.35
09-08-2023,97.88,99.07
09-11-2023,97.93,99.6
09-12-2023,98.04,99.81
09-13-2023,97.47,100.09
09-14-2023,98.51,101.63
09-15-2023,98.51,101.9
09-18-2023,98.08,101.26
09-19-2023,97.27,99.92
09-20-2023,97.07,99.9
09-21-2023,95.48,97.81
09-22-2023,95.62,97.76
09-25-2023,95.98,97.87
09-26-2023,95.14,96.66
09-27-2023,95.09,96.1
09-28-2023,95.85,96.96
09-29-2023,95.77,96.76
10-02-2023,94.57,94.96
10-03-2023,93.68,94.19
10-04-2023,93.53,94.26
10-05-2023,93.5,94.83
10-06-2023,94.12,95.36
10-10-2023,94.92,96.63
10-11-2023,95.26,97.43
10-12-2023,94.15,96.63
10-13-2023,93.63,96.44
10-16-2023,94.22,97.22
10-17-2023,94.44,97.58
10-18-2023,93.19,96.38
10-19-2023,92.25,95.88
10-20-2023,91.3,94.72
10-23-2023,90.75,94.39
10-24-2023,89.99,94.09
10-25-2023,89.83,93.97
10-26-2023,89.9,93.61
10-27-2023,89.88,92.96
10-30-2023,89.64,93.57
10-31-2023,90.15,93.66
11-01-2023,90.57,94.68
11-02-2023,92.82,97.39
11-03-2023,94.35,98.38
11-06-2023,93.66,97.98
11-07-2023,92.8,97.15
11-08-2023,93.36,96.92
11-09-2023,93.17,97.21
11-10-2023,93.68,97.54
11-13-2023,93.94,97.81
11-14-2023,95.22,99.44
11-15-2023,95.45,99.61
11-16-2023,94.57,99.61
11-17-2023,95.08,100.22
11-20-2023,95.51,100.57
11-21-2023,95.01,99.92
11-22-2023,94.88,99.94
11-23-2023,94.88,99.96
11-24-2023,95.1,99.89
11-27-2023,94.67,99.54
11-28-2023,94.78,99.58
11-29-2023,95.17,100.02
11-30-2023,95.24,100.67
12-01-2023,96.38,101.75
12-04-2023,96.07,101.53
12-05-2023,95.57,101.36
12-06-2023,95.27,100.88
12-07-2023,94.85,100.95
12-08-2023,95.1,101.23
12-11-2023,94.86,101.17
12-12-2023,94.31,100.75
12-13-2023,96.25,102.72
12-14-2023,97.77,103.55
12-15-2023,96.57,102.3
12-18-2023,96.83,102.77
12-19-2023,97.94,103.85
12-20-2023,96.96,102.67
12-21-2023,97.71,103.51
12-22-2023,97.7,104.08
12-27-2023,98.29,104.78
12-28-2023,98.23,104.46
12-29-2023,98.13,104.6
01-02-2024,97.78,104.22
01-03-2024,97.33,103.95
01-04-2024,97.47,104.22
01-05-2024,98,104.55
01-08-2024,98.49,105.23
01-09-2024,97.92,104.78
01-10-2024,97.89,104.87
01-11-2024,97.62,104.52
01-12-2024,97.98,104.88
01-15-2024,98.38,105.23
01-16-2024,97.46,104.67
01-17-2024,96.81,103.42
01-18-2024,97.25,103.73
01-19-2024,97.84,104.47
01-22-2024,98.1,104.56
01-23-2024,98.67,105.11
01-24-2024,99.24,105.14
01-25-2024,99.88,105.52
01-26-2024,100.37,105.64
01-29-2024,100.63,106.05
01-30-2024,100.55,106.2
01-31-2024,100.05,105.18
02-01-2024,99.77,105.67
02-02-2024,99.44,105.5
02-05-2024,98.06,104.43
02-06-2024,98.57,104.86
02-07-2024,98.74,104.92
02-08-2024,98.31,104.67
02-09-2024,98.56,105.12
02-12-2024,98.81,105.41
02-13-2024,96.45,102.99
02-14-2024,98,104.59
02-15-2024,100.08,106.27
02-16-2024,99.87,106.43
02-20-2024,98.72,106.25
02-21-2024,98.63,106.02
02-22-2024,99.01,106.76
02-23-2024,98.99,107.24
02-26-2024,98.95,106.79
02-27-2024,98.8,106.81
02-28-2024,98.56,106.48
02-29-2024,99.29,107.1
