Date,QUIC Canadian Fund Return,S&P/TSX Composite Total Return Index
02-28-2017,100,100
03-01-2017,100.47,101.35
03-02-2017,100.21,100.94
03-03-2017,100.98,101.42
03-06-2017,100.99,101.55
03-07-2017,100.56,101.42
03-08-2017,99.61,100.74
03-09-2017,100.25,100.74
03-10-2017,99.83,100.81
03-13-2017,100.4,101.11
03-14-2017,99.75,100.04
03-15-2017,100.67,100.98
03-16-2017,100.94,101.25
03-17-2017,100.71,100.78
03-20-2017,100.44,100.47
03-21-2017,99.06,99.64
03-22-2017,99.15,99.87
03-23-2017,99.57,100.44
03-24-2017,99.74,100.52
03-27-2017,99.89,100.93
03-28-2017,100.36,101.54
03-29-2017,101.04,102.01
03-30-2017,100.89,101.49
03-31-2017,100.89,101.34
04-03-2017,101.38,101.58
04-04-2017,102.04,102.13
04-05-2017,101.78,101.96
04-06-2017,101.89,102.37
04-07-2017,101.69,102.18
04-10-2017,102.36,102.59
04-11-2017,102.28,102.57
04-12-2017,101.72,102.06
04-13-2017,101.14,101.32
04-17-2017,102.25,102.3
04-18-2017,101.92,101.89
04-19-2017,101.38,101.44
04-20-2017,101.68,101.92
04-21-2017,101.7,101.91
04-24-2017,102.22,102.55
04-25-2017,102.79,102.77
04-26-2017,102.38,102.16
04-27-2017,101.12,101.26
04-28-2017,101.55,101.78
05-01-2017,101.68,101.71
05-02-2017,101.71,102
05-03-2017,101.32,101.5
05-04-2017,100.3,100.55
05-05-2017,101.71,101.76
05-08-2017,102.24,102.22
05-09-2017,101.55,101.68
05-10-2017,102.35,102.1
05-11-2017,101.81,101.61
05-12-2017,101.51,101.55
05-15-2017,102.22,102.15
05-16-2017,101.98,101.6
05-17-2017,100.33,99.84
05-18-2017,100.51,99.87
05-19-2017,101.67,101.06
05-23-2017,101.78,101.19
05-24-2017,101.64,100.83
05-25-2017,101.35,100.77
05-26-2017,101.29,100.81
05-29-2017,101.18,100.89
05-30-2017,100.88,100.57
05-31-2017,100.8,100.43
06-01-2017,101.37,101.24
06-02-2017,101.05,101.07
06-05-2017,100.96,100.85
06-06-2017,101.43,101.21
06-07-2017,100.74,100.64
06-08-2017,101.25,100.99
06-09-2017,101.85,101.32
06-12-2017,101.37,100.73
06-13-2017,101.41,100.76
06-14-2017,99.83,99.41
06-15-2017,99.62,99.35
06-16-2017,99.24,99.56
06-19-2017,99.4,100.04
06-20-2017,99.11,99.28
06-21-2017,99.03,99.28
06-22-2017,99.24,99.76
06-23-2017,99.86,100.41
06-26-2017,99.66,100.41
06-27-2017,99.85,100.19
06-28-2017,100.49,100.77
06-29-2017,100.12,99.88
06-30-2017,99.89,99.68
07-04-2017,99.69,99.34
07-05-2017,99.77,99.49
07-06-2017,99.14,99.05
07-07-2017,98.89,98.71
07-10-2017,99.1,99.23
07-11-2017,99.37,99.51
07-12-2017,99.24,99.48
07-13-2017,99.27,99.43
07-14-2017,99.34,99.69
07-17-2017,99.3,99.63
07-18-2017,99.31,99.52
07-19-2017,99.92,100.15
07-20-2017,99.96,100.28
07-21-2017,99.51,99.75
07-24-2017,99.31,99.46
07-25-2017,99.76,99.94
07-26-2017,99.71,99.74
07-27-2017,99.87,99.89
07-28-2017,99.6,99.52
07-31-2017,99.74,99.62
08-01-2017,99.74,100
08-02-2017,100.12,100.42
08-03-2017,99.17,99.93
08-04-2017,99.55,100.37
08-08-2017,99.5,100.36
08-09-2017,99.31,100.1
08-10-2017,98.24,99.16
08-11-2017,98.18,98.94
08-14-2017,98.44,99.51
08-15-2017,98.26,99.38
08-16-2017,98.13,99.28
08-17-2017,97.85,98.97
08-18-2017,97.32,98.46
08-21-2017,97.34,98.45
08-22-2017,97.39,98.67
08-23-2017,97.5,99.2
08-24-2017,97.84,99.29
08-25-2017,97.79,99.16
08-28-2017,97.76,99.14
08-29-2017,98.21,99.38
08-30-2017,98.36,99.73
08-31-2017,99.04,100.28
09-01-2017,98.86,100.15
09-05-2017,98.42,99.48
09-06-2017,98.44,99.28
09-07-2017,97.9,99.09
09-08-2017,97.57,98.83
09-11-2017,97.94,99.19
09-12-2017,98.51,99.87
09-13-2017,98.68,99.77
09-14-2017,98.92,100.15
09-15-2017,98.76,100.16
09-18-2017,98.98,100.58
09-19-2017,99.32,100.95
09-20-2017,100.15,101.59
09-21-2017,100.82,102.02
09-22-2017,100.94,102.03
09-25-2017,101.43,102.44
09-26-2017,101.22,102.16
09-27-2017,102.22,103.09
09-28-2017,102.1,103.24
09-29-2017,101.92,103.35
10-02-2017,102.39,103.86
10-03-2017,102.59,104.01
10-04-2017,102.61,103.96
10-05-2017,102.87,104.38
10-06-2017,102.44,104.07
10-10-2017,102.82,104.34
10-11-2017,102.97,104.54
10-12-2017,102.67,104.16
10-13-2017,103.11,104.59
10-16-2017,103.1,104.56
10-17-2017,102.75,104.66
10-18-2017,102.65,104.43
10-19-2017,103.09,104.67
10-20-2017,103.24,104.93
10-23-2017,103.31,104.92
10-24-2017,103.63,105.25
10-25-2017,103.32,104.98
10-26-2017,103.54,105.23
10-27-2017,104.28,105.64
10-30-2017,104.74,105.99
10-31-2017,105.12,106.17
11-01-2017,105.19,106.2
11-02-2017,105.22,106.1
11-03-2017,105.23,106.14
11-06-2017,106.03,106.61
11-07-2017,105.97,106.88
11-08-2017,105.74,106.7
11-09-2017,106.05,106.55
11-10-2017,105.63,106.27
11-13-2017,105.24,106.18
11-14-2017,104.62,105.48
11-15-2017,104.38,105.27
11-16-2017,104.4,105.64
11-17-2017,104.66,106.07
11-20-2017,104.58,106.13
11-21-2017,104.87,106.61
11-22-2017,104.77,106.59
11-23-2017,104.8,106.61
11-24-2017,105.02,106.84
11-27-2017,104.59,106.41
11-28-2017,104.43,106.34
11-29-2017,104.29,105.97
11-30-2017,104.71,106.67
12-01-2017,104.9,106.48
12-04-2017,104.83,106.02
12-05-2017,104.45,105.67
12-06-2017,104.37,105.63
12-07-2017,104.92,106.36
12-08-2017,105.47,106.92
12-11-2017,105.41,106.98
12-12-2017,105.1,107.06
12-13-2017,104.96,107.21
12-14-2017,104.28,106.48
12-15-2017,104.06,106.65
12-18-2017,104.64,107.24
12-19-2017,104.92,107.26
12-20-2017,105.26,107.43
12-21-2017,105.8,107.59
12-22-2017,105.69,107.48
12-27-2017,105.82,107.76
12-28-2017,106.08,107.99
12-29-2017,106.09,107.95
01-02-2018,106.43,108.62
01-03-2018,106.92,109.03
01-04-2018,107.03,109.31
01-05-2018,106.36,108.88
01-08-2018,106.16,108.67
01-09-2018,106.37,108.74
01-10-2018,105.78,108.26
01-11-2018,106.1,108.52
01-12-2018,106.23,108.67
01-15-2018,106.6,109.09
01-16-2018,106.01,108.61
01-17-2018,105.99,108.81
01-18-2018,105.57,108.53
01-19-2018,106.1,108.99
01-22-2018,105.96,108.95
01-23-2018,106.14,109.02
01-24-2018,105.81,108.6
01-25-2018,105.49,108.07
01-26-2018,105.57,108.3
01-29-2018,104.87,107.34
01-30-2018,104.19,106.43
01-31-2018,104.3,106.44
02-01-2018,103.63,105.84
02-02-2018,102.21,104.14
02-05-2018,100.47,102.33
02-06-2018,100.55,102.52
02-07-2018,100,102.3
02-08-2018,98.52,100.53
02-09-2018,98.43,100.32
02-12-2018,99.51,101.71
02-13-2018,99.22,101.54
02-14-2018,99.94,102.35
02-15-2018,100.14,102.89
02-16-2018,100.43,103.19
02-20-2018,100.3,103.12
02-21-2018,100.97,103.69
02-22-2018,101.15,103.6
02-23-2018,102.18,104.47
02-26-2018,102.48,104.98
02-27-2018,102.61,104.74
02-28-2018,100.89,103.23
03-01-2018,101.02,102.91
03-02-2018,100.94,102.88
03-05-2018,101.82,103.93
03-06-2018,101.87,103.96
03-07-2018,101.65,103.5
03-08-2018,101.66,103.97
03-09-2018,101.91,104.24
03-12-2018,101.95,104.42
03-13-2018,101.99,104.7
03-14-2018,101.59,104.81
03-15-2018,101.79,104.95
03-16-2018,102.19,105.22
03-19-2018,101.73,104.41
03-20-2018,102.14,104.59
03-21-2018,102.59,104.99
03-22-2018,101.14,103.15
03-23-2018,100.1,101.99
03-26-2018,100.41,102.49
03-27-2018,100.18,101.96
03-28-2018,99.81,101.74
03-29-2018,101.02,103.07
04-02-2018,100.24,102.09
04-03-2018,100.62,101.87
04-04-2018,100.27,101.76
04-05-2018,101.42,103.05
04-06-2018,100.62,102.05
04-09-2018,100.44,102.25
04-10-2018,100.77,102.48
04-11-2018,100.98,102.45
04-12-2018,101.19,102.53
04-13-2018,101.48,102.57
04-16-2018,101.44,102.74
04-17-2018,101.68,103.1
04-18-2018,102.83,104.29
04-19-2018,102.59,103.78
04-20-2018,102.64,103.98
04-23-2018,103.27,104.44
04-24-2018,103.04,104.01
04-25-2018,103.52,104.23
04-26-2018,104.25,105.09
04-27-2018,103.79,105.32
04-30-2018,103.68,104.95
05-01-2018,103.82,105.02
05-02-2018,103.85,105.08
05-03-2018,103.41,105.04
05-04-2018,104.13,105.77
05-07-2018,104.36,106.3
05-08-2018,104.21,106.53
05-09-2018,105.02,106.99
05-10-2018,105.74,107.32
05-11-2018,105.61,107.48
05-14-2018,106,108.25
05-15-2018,106.13,108.34
05-16-2018,106.46,108.42
05-17-2018,107.03,108.66
05-18-2018,107,108.79
05-22-2018,106.76,108.68
05-23-2018,106.35,108.6
05-24-2018,105.94,108.49
05-25-2018,105.56,108.23
05-28-2018,105.23,107.83
05-29-2018,104.5,107.22
05-30-2018,105.22,108.12
05-31-2018,105.52,108.22
06-01-2018,104.07,108.12
06-04-2018,105.05,108.18
06-05-2018,105.17,108.66
06-06-2018,105.1,109.07
06-07-2018,105.29,109.18
06-08-2018,105.25,109.25
06-11-2018,105.26,109.66
06-12-2018,105.28,109.84
06-13-2018,105,109.68
06-14-2018,105.06,110.19
06-15-2018,104.51,110.09
06-18-2018,105.01,110.56
06-19-2018,104.63,110.11
06-20-2018,104.7,110.81
06-21-2018,104.29,110.24
06-22-2018,105.63,111.02
06-25-2018,104.38,109.23
06-26-2018,105.09,109.88
06-27-2018,105.36,109.58
06-28-2018,104.96,109.34
06-29-2018,105.38,110.05
07-03-2018,105.58,109.95
07-04-2018,105.78,110.23
07-05-2018,105.37,109.97
07-06-2018,106.17,110.68
07-09-2018,106.54,111.29
07-10-2018,107.2,111.94
07-11-2018,106.43,111.05
07-12-2018,107.03,112.07
07-13-2018,107.33,112.03
07-16-2018,106.9,111.58
07-17-2018,107.24,111.75
07-18-2018,107.29,111.47
07-19-2018,107.19,111.91
07-20-2018,106.7,111.19
07-23-2018,106.41,111.09
07-24-2018,106.43,110.89
07-25-2018,106.63,111.16
07-26-2018,106.88,111.4
07-27-2018,106.71,110.98
07-30-2018,106.7,110.68
07-31-2018,107.41,111.31
08-01-2018,107.29,110.93
08-02-2018,106.86,111.15
08-03-2018,106.54,111.22
08-07-2018,105.7,110.32
08-08-2018,105.71,110.51
08-09-2018,106.48,111.2
08-10-2018,106.08,110.59
08-13-2018,105.74,110.08
08-14-2018,106.34,110.68
08-15-2018,104.99,109.45
08-16-2018,105.1,109.98
08-17-2018,105.54,110.65
08-20-2018,105.67,110.73
08-21-2018,105.82,110.5
08-22-2018,106.21,110.84
08-23-2018,106.01,110.71
08-24-2018,106.25,110.92
