Date,QUIC Canadian Fund Return,S&P/TSX Composite Total Return Index,QUIC Canadian Fund Return,S&P/TSX Composite Total Return Index
09-20-2010,50.00,32929.61,,
09-21-2010,50.15,32760.16,0.30%,-0.51%
09-22-2010,50.04,32699.39,-0.21%,-0.19%
09-23-2010,49.91,32578.53,-0.27%,-0.37%
09-24-2010,50.23,32864.33,0.65%,0.88%
09-27-2010,50.35,32825.92,0.24%,-0.12%
09-28-2010,50.57,33089.65,0.43%,0.80%
09-29-2010,50.96,33370.11,0.76%,0.85%
09-30-2010,51.16,33331.94,0.40%,-0.11%
10-01-2010,51.32,33341.63,0.31%,0.03%
10-04-2010,51.08,33233.38,-0.46%,-0.32%
10-05-2010,51.76,33705.50,1.32%,1.42%
10-06-2010,51.85,33716.92,0.18%,0.03%
10-07-2010,51.62,33566.46,-0.45%,-0.45%
10-08-2010,51.95,33808.26,0.64%,0.72%
10-12-2010,52.00,33916.93,0.10%,0.32%
10-13-2010,52.46,34182.63,0.88%,0.78%
10-14-2010,52.43,34038.77,-0.05%,-0.42%
10-15-2010,52.26,34010.12,-0.32%,-0.08%
10-18-2010,52.33,34169.10,0.13%,0.47%
10-19-2010,51.87,33906.24,-0.89%,-0.77%
10-20-2010,52.05,34121.99,0.36%,0.64%
10-21-2010,51.75,33985.99,-0.58%,-0.40%
10-22-2010,52.00,34008.58,0.47%,0.07%
10-25-2010,52.35,34176.99,0.69%,0.50%
10-26-2010,52.29,34233.93,-0.13%,0.17%
10-27-2010,52.05,33929.23,-0.46%,-0.89%
10-28-2010,52.17,33932.50,0.23%,0.01%
10-29-2010,52.65,34235.40,0.93%,0.89%
11-01-2010,52.63,34204.52,-0.05%,-0.09%
11-02-2010,52.76,34249.38,0.25%,0.13%
11-03-2010,52.85,34221.56,0.17%,-0.08%
11-04-2010,53.42,34782.45,1.08%,1.64%
11-05-2010,53.79,34907.53,0.69%,0.36%
11-08-2010,54.24,35252.98,0.84%,0.99%
11-09-2010,53.85,34888.63,-0.71%,-1.03%
11-10-2010,53.84,34970.54,-0.03%,0.23%
11-11-2010,53.85,34949.19,0.01%,-0.06%
11-12-2010,53.28,34453.75,-1.05%,-1.42%
11-15-2010,53.32,34416.56,0.07%,-0.11%
11-16-2010,52.84,34062.99,-0.90%,-1.03%
11-17-2010,53.01,34220.47,0.32%,0.46%
11-18-2010,53.59,34795.56,1.08%,1.68%
11-19-2010,53.95,35029.31,0.68%,0.67%
11-22-2010,53.81,34960.34,-0.26%,-0.20%
11-23-2010,53.23,34595.31,-1.09%,-1.04%
11-24-2010,53.66,34888.61,0.81%,0.85%
11-25-2010,53.77,35008.86,0.21%,0.34%
11-26-2010,53.63,34880.57,-0.26%,-0.37%
11-29-2010,53.49,34891.88,-0.25%,0.03%
11-30-2010,53.52,35046.90,0.05%,0.44%
12-01-2010,54.16,35582.72,1.20%,1.53%
12-02-2010,54.31,35623.85,0.27%,0.12%
12-03-2010,54.55,35666.10,0.44%,0.12%
12-06-2010,54.92,35928.77,0.69%,0.74%
12-07-2010,54.86,35860.20,-0.10%,-0.19%
12-08-2010,54.70,35607.17,-0.31%,-0.71%
12-09-2010,54.76,35648.40,0.12%,0.12%
12-10-2010,54.98,35844.88,0.40%,0.55%
12-13-2010,55.29,36021.01,0.56%,0.49%
12-14-2010,55.40,35978.27,0.19%,-0.12%
12-15-2010,55.31,35843.10,-0.16%,-0.38%
12-16-2010,55.29,35713.65,-0.04%,-0.36%
12-17-2010,55.37,35768.81,0.15%,0.15%
12-20-2010,55.30,35748.07,-0.13%,-0.06%
12-21-2010,55.82,36216.28,0.94%,1.31%
12-22-2010,55.93,36259.20,0.20%,0.12%
12-23-2010,55.86,36241.74,-0.12%,-0.05%
12-24-2010,55.91,36275.01,0.09%,0.09%
12-29-2010,56.09,36484.70,0.32%,0.58%
12-30-2010,56.12,36456.71,0.07%,-0.08%
12-31-2010,56.26,36480.62,0.24%,0.07%
01-04-2011,56.24,36382.27,-0.03%,-0.27%
01-05-2011,56.08,36365.52,-0.28%,-0.05%
01-06-2011,55.72,36136.70,-0.65%,-0.63%
01-07-2011,55.42,36030.25,-0.54%,-0.29%
01-10-2011,55.37,35956.47,-0.08%,-0.20%
01-11-2011,55.76,36379.86,0.71%,1.18%
01-12-2011,56.39,36542.74,1.12%,0.45%
01-13-2011,56.23,36383.33,-0.29%,-0.44%
01-14-2011,56.47,36553.30,0.43%,0.47%
01-17-2011,56.46,36493.40,-0.01%,-0.16%
01-18-2011,56.81,36818.72,0.62%,0.89%
01-19-2011,56.61,36493.07,-0.36%,-0.88%
01-20-2011,56.31,36201.16,-0.52%,-0.80%
01-21-2011,56.08,36004.33,-0.41%,-0.54%
01-24-2011,56.26,36262.97,0.31%,0.72%
01-25-2011,56.03,36024.04,-0.39%,-0.66%
01-26-2011,56.49,36584.02,0.81%,1.55%
01-27-2011,56.44,36443.17,-0.09%,-0.39%
01-28-2011,56.43,36529.34,-0.01%,0.24%
01-31-2011,56.76,36840.37,0.58%,0.85%
02-01-2011,57.21,37277.04,0.80%,1.19%
02-02-2011,57.14,37189.14,-0.13%,-0.24%
02-03-2011,57.60,37627.53,0.80%,1.18%
02-04-2011,57.58,37492.98,-0.03%,-0.36%
02-07-2011,57.63,37547.56,0.08%,0.15%
02-08-2011,57.86,37767.46,0.40%,0.59%
02-09-2011,57.58,37475.81,-0.49%,-0.77%
02-10-2011,57.66,37628.90,0.15%,0.41%
02-11-2011,57.41,37433.89,-0.43%,-0.52%
02-14-2011,57.74,37825.47,0.57%,1.05%
02-15-2011,57.79,37876.55,0.09%,0.14%
02-16-2011,58.21,38229.97,0.73%,0.93%
02-17-2011,58.30,38444.51,0.15%,0.56%
02-18-2011,58.23,38415.47,-0.11%,-0.08%
02-22-2011,57.74,37982.11,-0.85%,-1.13%
02-23-2011,57.73,37963.14,-0.01%,-0.05%
02-24-2011,57.65,37734.17,-0.13%,-0.60%
02-25-2011,58.49,38239.97,1.46%,1.34%
02-28-2011,58.63,38474.92,0.23%,0.61%
03-01-2011,58.48,38440.38,-0.25%,-0.09%
03-02-2011,58.45,38502.20,-0.05%,0.16%
03-03-2011,58.51,38695.86,0.10%,0.50%
03-04-2011,58.79,38799.44,0.48%,0.27%
03-07-2011,58.19,38362.74,-1.02%,-1.13%
03-08-2011,57.88,38152.21,-0.54%,-0.55%
03-09-2011,57.38,37808.45,-0.86%,-0.90%
03-10-2011,56.59,37138.22,-1.38%,-1.77%
03-11-2011,56.69,37256.87,0.18%,0.32%
03-14-2011,56.45,37107.61,-0.44%,-0.40%
03-15-2011,56.36,36913.12,-0.16%,-0.52%
03-16-2011,56.47,36860.10,0.21%,-0.14%
03-17-2011,57.07,37464.05,1.05%,1.64%
03-18-2011,57.33,37583.97,0.46%,0.32%
03-21-2011,58.00,38198.79,1.17%,1.64%
03-22-2011,57.91,38165.27,-0.16%,-0.09%
03-23-2011,58.24,38405.06,0.57%,0.63%
03-24-2011,58.08,38255.50,-0.27%,-0.39%
03-25-2011,58.09,38282.84,0.00%,0.07%
03-28-2011,57.84,37883.18,-0.43%,-1.04%
03-29-2011,58.04,38013.64,0.35%,0.34%
03-30-2011,58.38,38433.94,0.59%,1.11%
03-31-2011,58.51,38522.86,0.23%,0.23%
04-01-2011,58.29,38588.03,-0.38%,0.17%
04-04-2011,59.06,38828.88,1.32%,0.62%
04-05-2011,59.27,38971.39,0.36%,0.37%
04-06-2011,59.21,38787.42,-0.11%,-0.47%
04-07-2011,58.84,38528.31,-0.61%,-0.67%
04-08-2011,59.13,38803.22,0.48%,0.71%
04-11-2011,58.49,38225.41,-1.07%,-1.49%
04-12-2011,57.98,37694.88,-0.88%,-1.39%
04-13-2011,58.07,37784.76,0.16%,0.24%
04-14-2011,58.09,37752.50,0.04%,-0.09%
04-15-2011,57.95,37690.53,-0.25%,-0.16%
04-18-2011,57.64,37426.44,-0.53%,-0.70%
04-19-2011,57.76,37520.77,0.21%,0.25%
04-20-2011,58.18,37961.37,0.74%,1.17%
04-21-2011,58.40,38181.78,0.36%,0.58%
04-25-2011,58.36,38004.98,-0.06%,-0.46%
04-26-2011,58.44,38009.84,0.14%,0.01%
04-27-2011,58.33,37976.21,-0.19%,-0.09%
04-28-2011,58.37,37991.49,0.06%,0.04%
04-29-2011,58.70,38129.27,0.56%,0.36%
05-02-2011,58.70,38101.17,0.01%,-0.07%
05-03-2011,58.24,37439.09,-0.78%,-1.74%
05-04-2011,58.00,37217.48,-0.43%,-0.59%
05-05-2011,57.68,36791.07,-0.55%,-1.15%
05-06-2011,58.02,37096.51,0.59%,0.83%
05-09-2011,58.23,37398.76,0.37%,0.81%
05-10-2011,58.12,37305.04,-0.19%,-0.25%
05-11-2011,57.58,36704.87,-0.92%,-1.61%
05-12-2011,57.46,36623.07,-0.21%,-0.22%
05-13-2011,57.39,36594.97,-0.13%,-0.08%
05-16-2011,57.46,36633.80,0.12%,0.11%
05-17-2011,57.66,36773.22,0.35%,0.38%
05-18-2011,58.03,37230.48,0.65%,1.24%
05-19-2011,58.18,37280.40,0.25%,0.13%
05-20-2011,58.27,37360.55,0.17%,0.21%
05-24-2011,58.10,37207.94,-0.29%,-0.41%
05-25-2011,58.41,37637.77,0.52%,1.16%
05-26-2011,58.59,37704.64,0.31%,0.18%
05-27-2011,58.74,37778.54,0.25%,0.20%
05-30-2011,58.91,37869.37,0.29%,0.24%
